Short description,Description,Full_Description,Assignment group,New_Assignment_Group
windows password change via password management tool,windows password change via password management tool,windows password change via password management tool window password change via password management tool,GRP_0,0
status change telephony software,close call    agent keep    acd call    status,status change telephony software close call   agent keep   acd call   status,GRP_7,46
job mm zscr      dly merktc   fail job scheduler                       ,receive      job mm zscr       dly merktc    fail job scheduler                     ,job mm zscr      dly merktc   fail job scheduler                         receive     job mm zscr      dly merktc   fail job scheduler                     ,GRP_8,47
vip      i need -PRON- password management tool password manager password reset,account keep lock    possible reason      companysecure mobile device email setup incorrect password store     window network password match,vip      i need -PRON- password management tool password manager password reset   i need -PRON- password management tool password manager password reset        ,GRP_0,0
reset scm software password,      receive      good morning       reset password lose option set skype meeting     please help     recall able bring back last time     ,reset scm software password    receive from   cdbaoqts wqbsodni gmail com   hello    please reset -PRON- scm software password     cdbaoqts wqbsodni global product manager   markhtyete initiative cdbaoqts wqbsodni gmail com mailto cdbaoqts wqbsodni gmail com       ,GRP_0,0
account lock out while in office,enquiry impact reward    get password reset,account lock out while in office account keep lock out   possible reason     companysecure or mobile device email setup have an incorrect password store    window and network password do not match,GRP_0,0
skype meeting,need dn material            plant plant                         pcs  ,skype meeting      receive     good morning      i have to reset -PRON- password again and i ve lose -PRON- option for set up a skype meeting again    can -PRON- please help -PRON-    i can t recall how -PRON- be able to bring -PRON- back the last time     ,GRP_0,0
enquiry on impact reward,      receive      hello     please help unlock company net log password    urgent   ,enquiry on impact reward enquiry on impact reward   how to get password reset,GRP_0,0
need dn for material           plant plant                        pcs   thank,receive      job mm zscr       dly merktc    fail job scheduler                     ,need dn for material           plant plant                        pcs   thank need dn for material           plant plant                        pcs  ,GRP_6,42
unlock logon password,receive      job job        fail job scheduler                     ,unlock logon password      receive     hello    please help to unlock -PRON- company net log on password   urgent   ,GRP_0,0
job mm zscr      dly merktc   fail in job scheduler at                       ,password change require user    abc,job mm zscr      dly merktc   fail in job scheduler at                         receive     job mm zscr      dly merktc   fail in job scheduler at                     ,GRP_8,47
job job       fail in job scheduler at                       ,      receive           well,job job       fail in job scheduler at                         receive     job job       fail in job scheduler at                     ,GRP_8,47
password change require for user   abc,please help     try create dlv mm            sto                             sto                       sto plant       plant     ,password change require for user   abc password change require for user   abc,GRP_0,0
issue with outlook,apac company     two switch since        et             company ap chn apac company        access sw       company ap chn apac company        access sw   ,issue with outlook      receive          best,GRP_0,0
  urgent    create dlv,error login sid      system      verify user detail    employee      manager name      user try password management tool pwd manager      unlock erp -PRON- d      caller confirm able login      issue resolve,  urgent    create dlv please help    i try to create dlv for this mm s           sto                            sto                      sto from plant      to plant     ,GRP_6,42
apac company    two switch be down since       am et on       ,n                           plant plant       plant        issue display     ekpo sobkz e    ekpo umsok      ekpo kzbws      ekpo kzvbr    e    note           support    check entry   ,apac company    two switch be down since       am et on         apac company    two switch be down since       am et on            company ap chn apac company       access sw      company ap chn apac company       access sw   ,GRP_8,47
error login on to the sid     system,receive      job job        fail job scheduler                     ,error login on to the sid     system   error login on to the sid     system     verify user detail   employee     manager name     user have try the password management tool pwd manager     unlock the erp -PRON- d     caller confirm that -PRON- be able to login     issue resolve,GRP_0,0
delivery note can t do post good issue,receive      job job        fail job scheduler                     ,delivery note can t do post good issue d n                          plant plant      to plant       the issue display    ekpo sobkz e   ekpo umsok     ekpo kzbws     ekpo kzvbr   e   note          not support   check -PRON- entry   ,GRP_0,0
job job       fail in job scheduler at                       ,receive      job job        fail job scheduler                     ,job job       fail in job scheduler at                         receive     job job       fail in job scheduler at                     ,GRP_9,48
job job       fail in job scheduler at                       ,receive      job job        fail job scheduler                     ,job job       fail in job scheduler at                         receive     job job       fail in job scheduler at                     ,GRP_8,47
job job       fail in job scheduler at                       ,    receive    przndfbo pldqbhtn gmail com    team     please kindly    release lock computer user     xyz user name     fbmugzrl ahyiuqev  ,job job       fail in job scheduler at                         receive     job job       fail in job scheduler at                     ,GRP_8,47
job job       fail in job scheduler at                       ,laptop speaker work require urgent help,job job       fail in job scheduler at                         receive     job job       fail in job scheduler at                     ,GRP_8,47
user lock   user   xyz,user nee help connect wireless connection home     user connect lan home     connect user system use teamviewer     check network set     help user login home wireless     disconnect home lan     user confirm able login home wireless     issue resolve,user lock   user   xyz    receive from   przndfbo pldqbhtn gmail com   -PRON- team    please kindly   release lock computer for user    xyz user name    fbmugzrl ahyiuqev  ,GRP_0,0
dell        -PRON- laptop speaker be not work again and require -PRON- urgent help,inc           ticket update,dell        -PRON- laptop speaker be not work again and require -PRON- urgent help   -PRON- laptop speaker be not work again and require -PRON- urgent help,GRP_0,0
user need help to connect to the wireless connection at home,receive      job hr payroll na u    fail job scheduler                     ,user need help to connect to the wireless connection at home   user need help to connect to the wireless connection at home    have the user connect to the lan at home    connect to the user system use teamviewer    check the network setting    help the user login to the home wireless    disconnect the home lan    user confirm that -PRON- be able to login to the home wireless    issue resolve,GRP_0,0
inc          ticket update,receive      job hr payroll na u    fail job scheduler                     ,inc          ticket update   inc          ticket update,GRP_0,0
job hr payroll na u   fail in job scheduler at                       ,receive      job hr payroll na u    fail job scheduler                     ,job hr payroll na u   fail in job scheduler at                         receive     job hr payroll na u   fail in job scheduler at                     ,GRP_10,2
job hr payroll na u   fail in job scheduler at                       ,type outage          network            circuit          x    power    please specify type outage          top      cert site             yes              yes na           start                     pm et                               schedule maintenance     power        yno            yes na        company power                  provider power                                    schedule maintenance     network                 yes na        company maint            yes          provider maint ticket                                 site backup circuit        yes           yes na           backup circuit active          na             yes na           site contact notify    phone email                      yes na           remote dial           na             yes na           equipment reset            na              yes na            verify site work backup circuit         na            yes na            vendor ticket        global telecom      verizon    telecom vendor      telecom vendor              global telecom                                                         notify    gsc                  yes na       cert start                  yes na             additional diagnostic,job hr payroll na u   fail in job scheduler at                         receive     job hr payroll na u   fail in job scheduler at                     ,GRP_10,2
job hr payroll na u   fail in job scheduler at                       ,type outage        x    network            circuit            power    please specify type outage          top      cert site                        yes na           start                                et                        schedule maintenance     power                 yes na        company power                  provider power                                    schedule maintenance     network                 yes na        company maint            yes          provider maint ticket                                 site backup circuit                yes na           backup circuit active                    yes na           site contact notify    phone email                      yes na           remote dial                      yes na           equipment reset                        yes na            verify site work backup circuit                   yes na            vendor ticket        global telecom      verizon    telecom vendor      telecom vendor                                                  notify    gsc                  yes na       cert start                  yes na             additional diagnostic,job hr payroll na u   fail in job scheduler at                         receive     job hr payroll na u   fail in job scheduler at                     ,GRP_10,2
power outage uk al    st and   th ave site hard down since at       pm et on        ,receive      job job        fail job scheduler                     ,power outage uk al    st and   th ave site hard down since at       pm et on          what type of outage         network           circuit         x   power   please specify what type of outage         top     cert site            yes             yes no na          when do -PRON- start                    pm et on                              schedule maintenance    power       yno           yes no na       company power                 provider power                                   schedule maintenance    network        no          yes no na       company maint           yes no         provider maint ticket                                do site have a backup circuit       yes          yes no na          backup circuit active         na            yes no na          site contact notify   phone email                     yes no na          remote dial in          na            yes no na          equipment reset           na             yes no na           verify site work on backup circuit        na           yes no na           vendor ticket       global telecom     verizon   telecom vendor     telecom vendor             global telecom                                                        notify   gsc                 yes no na      cert start                 yes no na            additional diagnostic,GRP_8,47
power outage    germany   mx   site be hard down since                   am et,user yhmwxsqj ugnthxky issue log outlook      rgtry available tomorrow around         work company campus    request reach     fix issue,power outage    germany   mx   site be hard down since                   be et what type of outage       x   network           circuit           power   please specify what type of outage         top     cert site            no             yes no na          when do -PRON- start                               am et                       schedule maintenance    power          no        yes no na       company power                 provider power                                   schedule maintenance    network         no         yes no na       company maint           yes no         provider maint ticket                                do site have a backup circuit         no        yes no na          backup circuit active          no           yes no na          site contact notify   phone email                     yes no na          remote dial in                     yes no na          equipment reset                       yes no na           verify site work on backup circuit                  yes no na           vendor ticket       global telecom     verizon   telecom vendor     telecom vendor                                                 notify   gsc                 yes no na      cert start                 yes no na            additional diagnostic,GRP_8,47
job job       fail in job scheduler at                       ,hello service     nee monitor manufacture draw approve manufacture     engineering tool stop show pdf original       process            erp     production order interface vendor bas cr         rfc destination production order interface vendor view       accessible    file can not stamp                           bapireturnederrorexception         stack trace         cadagent erp conn jco tm jcoerpmanager handlereturnstructureorreturntableline jcoerpmanager java              -PRON- d    jcoerpmanager java                            z wt           cadagent erp conn jco tm jcoerpmanager handlereturnstructure jcoerpmanager java              -PRON- d    jcoerpmanager java                            z wt           cadagent erp conn jco tm jcoerpmanager generirtcfunction jcoerpmanager java              -PRON- d    jcoerpmanager java                            z wt           cadagent objmod plmfile checkoutview plmfile java               -PRON- d    plmfile java                          z aju           plm omf omforiginalsexport checkoutbapi omforiginalsexport java              -PRON- d    omforiginalsexport java                              z rb           plm omf omforiginalsexport downloaddocumentoriginals omforiginalsexport java              -PRON- d    omforiginalsexport java                              z rb           plm omf omforiginalsexport actionperformed omforiginalsexport java              -PRON- d    omforiginalsexport java                              z rb           cadagent gui obr obrfunctioneventqueue run obrfunctioneventqueue java              -PRON- d    obrfunctioneventqueue java                            z bda                api    bapi document checkoutview               know problem    fix     ,job job       fail in job scheduler at                         receive     job job       fail in job scheduler at                     ,GRP_6,42
user yhmwxsqj ugnthxky have issue log to outlook  ,receive      job job        fail job scheduler                     ,user yhmwxsqj ugnthxky have issue log to outlook    user yhmwxsqj ugnthxky have issue log to outlook     rgtry will be available tomorrow around       be   -PRON- work out of company campus   request -PRON- to reach out to -PRON-    fix the issue,GRP_0,0
job bwhrattr fail in job scheduler at                       ,receive      job mm zscr       wkly rollfgyuej    fail job scheduler                     ,job bwhrattr fail in job scheduler at                         receive     job bwhrattr fail in job scheduler at                     ,GRP_9,48
engineer tool drawing original in pdf format be not show,unable open ie,engineer tool drawing original in pdf format be not show hello -PRON- service    i need to monitor the manufacture drawing to approve manufacturing    the engineering tool stop show pdf original      process           erp    production order interface vendor bas cr        rfc destination production order interface vendor view      not accessible   file can not be stamp now                          bapireturnederrorexception        stack trace        cadagent erp conn jco tm jcoerpmanager handlereturnstructureorreturntableline jcoerpmanager java             -PRON- d   jcoerpmanager java                           z wt          cadagent erp conn jco tm jcoerpmanager handlereturnstructure jcoerpmanager java             -PRON- d   jcoerpmanager java                           z wt          cadagent erp conn jco tm jcoerpmanager generirtcfunction jcoerpmanager java             -PRON- d   jcoerpmanager java                           z wt          cadagent objmod plmfile checkoutview plmfile java              -PRON- d   plmfile java                         z aju          plm omf omforiginalsexport checkoutbapi omforiginalsexport java             -PRON- d   omforiginalsexport java                             z rb          plm omf omforiginalsexport downloaddocumentoriginals omforiginalsexport java             -PRON- d   omforiginalsexport java                             z rb          plm omf omforiginalsexport actionperformed omforiginalsexport java             -PRON- d   omforiginalsexport java                             z rb          cadagent gui obr obrfunctioneventqueue run obrfunctioneventqueue java             -PRON- d   obrfunctioneventqueue java                           z bda               api   bapi document checkoutview              be this a know problem   when -PRON- will be fix     ,GRP_11,3
job apo bop plant     a fail in job scheduler at                       ,receive      job job        fail job scheduler                     ,job apo bop plant     a fail in job scheduler at                         receive     job apo bop plant     a fail in job scheduler at                     ,GRP_6,42
job job       fail in job scheduler at                       ,receive      job sid     cold failed job scheduler                     ,job job       fail in job scheduler at                         receive     job job       fail in job scheduler at                     ,GRP_9,48
job mm zscr      wkly rollfgyuej   fail in job scheduler at                       ,receive      job sid     cold failed job scheduler                     ,job mm zscr      wkly rollfgyuej   fail in job scheduler at                         receive     job mm zscr      wkly rollfgyuej   fail in job scheduler at                     ,GRP_8,47
unable to open ie,receive      job job       fail job scheduler                     ,unable to open ie   unable to open ie,GRP_0,0
job job       fail in job scheduler at                       ,receive      job sid     cold failed job scheduler                     ,job job       fail in job scheduler at                         receive     job job       fail in job scheduler at                     ,GRP_8,47
job sid    cold fail in job scheduler at                       ,receive      job job       fail job scheduler                     ,job sid    cold fail in job scheduler at                         receive     job sid    cold fail in job scheduler at                     ,GRP_5,39
job sid    cold fail in job scheduler at                       ,receive      job sid     cold failed job scheduler                     ,job sid    cold fail in job scheduler at                         receive     job sid    cold fail in job scheduler at                     ,GRP_5,39
job job      fail in job scheduler at                       ,receive      job sid     cold failed job scheduler                     ,job job      fail in job scheduler at                         receive     job job      fail in job scheduler at                     ,GRP_5,39
job sid    cold fail in job scheduler at                       ,amssm         c     label sys amssm          ef       server         space consume    space available        g,job sid    cold fail in job scheduler at                         receive     job sid    cold fail in job scheduler at                     ,GRP_5,39
job job      fail in job scheduler at                       ,unable view payslip hr tool e time,job job      fail in job scheduler at                         receive     job job      fail in job scheduler at                     ,GRP_5,39
job sid    cold fail in job scheduler at                       ,    receive    ecprjbod litmjwsy gmail com    system say password expire tomorrow     want change new password    allow     new password accept      say server authorize     kindly check needful password expire tomorrow   ,job sid    cold fail in job scheduler at                         receive     job sid    cold fail in job scheduler at                     ,GRP_5,39
job sid    cold fail in job scheduler at                       ,    receive    noscwdpm akiowsmp gmail com    hello     kiosk user     please reset password confirm      noscwdpm akiowsmp noscwdpm akiowsmp gmail com     ihkolepb ozhnjyef send       october               company ticket tool com     es portal access issue    hi     mention employee krlszbqo spimolgz user -PRON- d sv      able login es portal access pay slip relate content    attendance tool user    please reset user -PRON- d password revert back   ,job sid    cold fail in job scheduler at                         receive     job sid    cold fail in job scheduler at                     ,GRP_5,39
amssm        c    label sys amssm         ef      on server   be over       space consume   space available       g,    receive    ihkolepb ozhnjyef gmail com    hi     mention employee krlszbqo spimolgz user -PRON- d sv      able login es portal access pay slip relate content    attendance tool user    please reset user -PRON- d password revert back   ,amssm        c    label sys amssm         ef      on server   be over       space consume   space available       g   amssm        c    label sys amssm         ef      on server   be over       space consume   space available       g,GRP_12,4
unable to view payslip from hr tool e time,receive      job job        fail job scheduler                     ,unable to view payslip from hr tool e time unable to view payslip from hr tool e time,GRP_0,0
password expiry tomorrow,receive      job job        fail job scheduler                     ,password expiry tomorrow    receive from   ecprjbod litmjwsy gmail com   -PRON- system say -PRON- password expire tomorrow    but when i want to change to a new password   -PRON- do not allow    the new password be not accept     -PRON- say server do not authorize    kindly check and do the needful as the password be expire tomorrow   ,GRP_0,0
re   es portal access issue,receive      job job        fail job scheduler                     ,re   es portal access issue    receive from   noscwdpm akiowsmp gmail com   hello    -PRON- be an kiosk user    please reset the password and confirm     noscwdpm akiowsmp noscwdpm akiowsmp gmail com   from   ihkolepb ozhnjyef send      october             to   company ticket tool com    ess portal access issue   hi    below mention employee krlszbqo spimolgz with user -PRON- d sv     be not able to login to ess portal to access -PRON- pay slip and relate content   -PRON- be a attendance tool user   please reset -PRON- user -PRON- d and password and revert back   ,GRP_0,0
ess portal access issue,receive      job job        fail job scheduler                     ,ess portal access issue    receive from   ihkolepb ozhnjyef gmail com   hi    below mention employee krlszbqo spimolgz with user -PRON- d sv     be not able to login to ess portal to access -PRON- pay slip and relate content   -PRON- be a attendance tool user   please reset -PRON- user -PRON- d and password and revert back   ,GRP_0,0
job job       fail in job scheduler at                       ,receive      job job        fail job scheduler                     ,job job       fail in job scheduler at                         receive     job job       fail in job scheduler at                     ,GRP_9,48
job job       fail in job scheduler at                       ,    receive    isfadulo etkyjabn gmail com    hello    good morning     experience issue attendance tool log every time try log    single sign portal    follow screen get display stay    appreciate support fix issue      ,job job       fail in job scheduler at                         receive     job job       fail in job scheduler at                     ,GRP_8,47
job job       fail in job scheduler at                       ,excel freeze issue,job job       fail in job scheduler at                         receive     job job       fail in job scheduler at                     ,GRP_6,42
job job       fail in job scheduler at                       ,unable sync file collaboration platform,job job       fail in job scheduler at                         receive     job job       fail in job scheduler at                     ,GRP_9,48
job job       fail in job scheduler at                       ,unable update password password management tool password manager,job job       fail in job scheduler at                         receive     job job       fail in job scheduler at                     ,GRP_9,48
attendance tool    system log on error,vitalyst transfer    report tool access query,attendance tool    system log on error    receive from   isfadulo etkyjabn gmail com   hello   good morning    i be experience issue with attendance tool log on every time i try to log on through   single sign portal   the follow screen get display and -PRON- stay there   appreciate -PRON- support to fix this issue      ,GRP_0,0
excel freeze issue,receive      job job        fail job scheduler                     ,excel freeze issue excel freezing issue,GRP_0,0
unable to sync a file in collaboration platform,user say callback,unable to sync a file in collaboration platform   unable to sync a file in collaboration platform,GRP_0,0
unable to update password on the password management tool password manager,unable update password password management tool,unable to update password on the password management tool password manager unable to update password on the password management tool password manager,GRP_0,0
vitalyst transfer   report tool access query,erp sid      erp production password reset      account lock,vitalyst transfer   report tool access query vitalyst transfer   report tool access query,GRP_0,0
job job       fail in job scheduler at                       ,      receive      hello       try gain access pay roll information hub    specifically hr tool etime portal      information portal come without problem     pay stub      continuously show search ring       ,job job       fail in job scheduler at                         receive     job job       fail in job scheduler at                     ,GRP_13,5
user say -PRON- will callback,ticket update ticket       ,user say -PRON- will callback   user say -PRON- will callback,GRP_0,0
unable update password on password management tool,unable display expense report,unable update password on password management tool   unable update password on password management tool,GRP_0,0
erp sid     erp production password reset     account be lock,password reset upitdmhz owupktcg cruzjc,erp sid     erp production password reset     account be lock erp sid     erp production password reset     account be lock,GRP_0,0
server issue,unable login benefit tab,server issues      receive     hello      i have be try to gain access to -PRON- pay roll information on the hub   specifically the hr tool etime portal   the   other   information on the portal come up without problem   but the   pay stub   do not    -PRON- continuously show the search re       ,GRP_0,0
ticket update on ticket no       ,hello    issue outlook view     call let share screen,ticket update on ticket no         ticket update on ticket no       ,GRP_0,0
unable to display expense report,unable access mail,unable to display expense report unable to display expense report,GRP_0,0
password reset for upitdmhz owupktcg cruzjc,   tvcdfqgp nrbcqwgj    send    friday    october                 pm    nwfodmhc exurcwkm      se ha bloqueado en forma temporal la sincronizaci    n de su dispositivo    vil mediante exchange activesync hasta que su administrador autorice el acceso     hi    receive message local expert tell open ticket   ,password reset for upitdmhz owupktcg cruzjc password reset for upitdmhz owupktcg cruzjc,GRP_0,0
unable to login in benefit tab,internal keybankrd work cs external usb keybankrd,unable to login in benefit tab unable to login in benefit tab,GRP_0,0
hello   i m have an issue with -PRON- outlook view    can -PRON- call -PRON- and let -PRON- share -PRON- screen,update inplant       ,hello   i m have an issue with -PRON- outlook view    can -PRON- call -PRON- and let -PRON- share -PRON- screen   hello   i m have an issue with -PRON- outlook view    can -PRON- call -PRON- and let -PRON- share -PRON- screen,GRP_0,0
unable to access mail,      receive      hello sir       try change password thru     get error    pl help know action take ensure password everywhere since belo wmsg say password change          ,unable to access mail   unable to access mail,GRP_0,0
mobile device activation,intermittent service configair server sid      require probably restart production server     error occur production show        internal serrver error    error    try invoke method java util list iterator     null object load local variable    local list     issue reproduce production e g      company customer e g              base material mm           hss pm finish    b    company customer e g                start scratch    select product platform e g    hp hss pm rough    screen freeze    c    log language different    en     e g     de     company customer e g              base material e g              issue already several time nee always restart server    thryeu good contact person issue already work root cause external vendor configair  ,mobile device activation from   tvcdfqgp nrbcqwgj   send   friday   october                pm to   nwfodmhc exurcwkm     se ha bloqueado en forma temporal la sincronizaci   n de su dispositivo m   vil mediante exchange activesync hasta que su administrador autorice el acceso    hi   i receive this message and -PRON- local -PRON- expert have tell -PRON- to open a ticket   ,GRP_0,0
internal keybankrd will not work after cs nor will an external usb keybankrd,unable access vpn,internal keybankrd will not work after cs nor will an external usb keybankrd   internal keybankrd will not work after cs nor will an external usb keybankrd,GRP_3,23
blank call    gso,unable open outlook,blank call    gso blank call    gso,GRP_0,0
update on inplant       ,install driver printer hr     hostname    ,update on inplant         update on inplant       ,GRP_0,0
password change thru password management tool password manager,unable send email outbox,password change thru password management tool password manager      receive     hello sir      i try to change -PRON- password thru above   i   get below error   pl help know what action to be take further to ensure all password be same everywhere since belo wmsg say all password be not change          ,GRP_0,0
unlock personal number in ess,name xvgftyr tryfuh language    browser microsoft internet explorer email cnkoflhi abeoucfj gmail com customer number    summary can not seem access drawing netweaver application instal computer     take page colleague,unlock personal number in ess unlock personal number in ess,GRP_0,0
intermittent service on configair server in sid     require probably a restart on production server,name vdhfy language    browser microsoft internet explorer email dcvphjru ybomrjst gmail com customer number    summary scrap old phone    mail configure    take permission set view mail phone,intermittent service on configair server in sid     require probably a restart on production server intermittent service on configair server in sid     require probably a restart on production server    the error occur in production and show       internal serrver error   error   while try to invoke the method java util list iterator    of null object load from local variable   local list    the issue can be reproduce in production e g    a   company customer e g             and base material mm          hss pm finish   b   company customer e g               and start from scratch   i can select a product platform e g   hp hss pm rough   but the screen freeze   c   log on language different   en    e g    de    company customer e g             base material e g             -PRON- have this issue already several time before and -PRON- need always a restart of the server   thryeu be a good contact person for this issue as -PRON- be already work on the root cause with -PRON- external vendor configair  ,GRP_14,6
unable to access vpn,receive      job job        fail job scheduler                     ,unable to access vpn unable to access vpn,GRP_0,0
unable to open outlook,receive      job job        fail job scheduler                     ,unable to open outlook unable to open outlook,GRP_0,0
install driver in printer hr    in hostname    ,unable view payslip ie,install driver in printer hr    in hostname      install driver in printer hr    in hostname    ,GRP_0,0
unable to send email from outbox,please reset hr tool gv       password reset  ,unable to send email from outbox unable to send email from outbox,GRP_0,0
